id,happiness
8001,3.8270146449851614
8002,2.8677319386213718
8003,3.4831085577385816
8004,4.34078872965279
8005,3.2412936792519846
8006,4.348115897574324
8007,3.9188650894726216
8008,4.47724647437544
8009,4.059500605307122
8010,2.8560624513810966
8011,3.018921060181372
8012,3.6934564957122276
8013,4.160938050050187
8014,3.5211450378369267
8015,3.5022114515309837
8016,4.536910737257963
8017,3.6305051092486917
8018,4.331364539775659
8019,3.8650197878455432
8020,3.9860694712474096
8021,4.0768966287344455
8022,3.7341327503409314
8023,4.058726196075761
8024,3.8142711549996067
8025,3.097174831858319
8026,4.048373153455399
8027,4.255550869470818
8028,3.924917783180188
8029,4.441705096072228
8030,4.2404409534280605
8031,3.8681744246905176
8032,4.192089789833941
8033,4.076861896217893
8034,3.490511386720601
8035,3.510602807724644
8036,4.5044244549337025
8037,4.074539014769375
8038,4.020257630535966
8039,3.769709659479674
8040,4.154606886108717
8041,4.287693376092738
8042,3.7560414792603987
8043,3.993939419761979
8044,3.8025334127267394
8045,4.3593653963422
8046,4.0336686743831
8047,4.470999618301664
8048,3.91598076011935
8049,3.799976288806523
8050,4.47665135321029
8051,3.922627565168904
8052,4.114840682826646
8053,2.9590800456464743
8054,3.9508273399224234
8055,4.207654712085014
8056,2.8264949030894337
8057,3.8652575842701244
8058,3.392557358070096
8059,2.89987314383289
8060,4.2379684602311185
8061,3.198522451559265
8062,3.3736923588358363
8063,3.9715931250470713
8064,4.108307213140534
8065,4.057740179493896
8066,4.173846126825362
8067,4.05307708221474
8068,3.9677838930573537
8069,3.674821975974326
8070,4.098205033322042
8071,4.045109766390248
8072,4.346870210763385
8073,3.638816073416663
8074,3.828020086375165
8075,3.3265198490276577
8076,3.8387967311329896
8077,3.5328489009865334
8078,4.0085107694739905
8079,4.44290087623339
8080,4.008185397056887
8081,3.9966201011879563
8082,3.983214519393398
8083,4.425151654016851
8084,4.368805714610784
8085,4.42724994574357
8086,4.213039908713894
8087,4.133492177831498
8088,4.138774373092762
8089,3.653296396915061
8090,3.8415589248479285
8091,4.166697368657357
8092,3.7633140424801566
8093,4.212351619790753
8094,4.23428781988925
8095,4.809314424881421
8096,3.3969543651139764
8097,4.309862944714402
8098,3.8822603136912948
8099,3.6473320972614074
8100,4.029980874774029
8101,4.12163891564943
8102,4.129770653613081
8103,3.5752360450222227
8104,4.594051798069644
8105,4.029391420795524
8106,4.292846446991322
8107,4.342889929698577
8108,4.065798739640298
8109,3.7267704893017592
8110,3.668156632135386
8111,4.257873197849362
8112,3.5870248584195057
8113,3.808490649331425
8114,4.548740839255611
